target,source,cosine_similarity,dialect
ابقي عينك على الديناصورات,ابقى عينك على الديناصورات,0.99932474,Egyptian
وأنا هنا لمساعدتك.,أنا هنا لمساعدتك.,0.99926865,Egyptian
.... قلبي يعرف طعم الكوكايين؟,... قلبي يعرف طعم الكوكايين؟,0.9992352,Egyptian
أشكركم على السماح لي بالمشاركة.,بشكركم على السماح لي بالمشاركة.,0.99921846,Egyptian
مات 2000 جندي روسي يقاتلون لوحدهم,مات 2000 جندي روسي يقاتلوا لوحدهم,0.9992026,Egyptian
تصبحين على خير - تصبح على خير -,تصبح على خير - تصبحي على خير,0.99911946,Egyptian
تلك الليله في النادي عرفت...,تلك الليلة في النادي عرفت ...,0.99910295,Egyptian
"تحركى, تحركى,زلزال!",تحركى، تحركى،زلزال!,0.99909127,Egyptian
عشرون ألف من الماشية وخمسون ألفاً من الأغنام.,عشرون ألف من الماشية وخمسون ألف من الأغنام.,0.99905974,Egyptian
وفهم معنى الحلزون الثلاثي هو المفتاح لإنقاذ حياتك,وفهم معنى الحلزون الثلاثي يكون المفتاح لإنقاذ حياتك,0.9990536,Egyptian
، فليمنحك الله الحظ السعيد .ساعد البنت الفقيرة,، فليمنحك الله الحظ السعيد. ساعد البنت الفقيرة.,0.9990406,Egyptian
شكرا لكم شكرا لكم,شكرًا لك شكرا لك,0.99901295,Egyptian
تصبح على خير - تصبحين على خير -,تصبح على خير - تصبحي على خير,0.9990088,Egyptian
شكراً على الصورة شكراً على الصورة,شكرا على الصورة شكرا على الصورة,0.9989279,Egyptian
في 18 يناير 1863 يوم المذبحة،,"في يوم 18 يناير 1863 يوم المذبحة,",0.9988095,Egyptian
لدي نظرية جديدة عن الدافع,عندي نظرية جديدة عن الدافع,0.99880266,Egyptian
"لحسن الحظ, انه دخل فى العمل العائلى.",لحسن الحظ، أنه دخل في العمل العائلي.,0.9987285,Egyptian
طريق واحد للخروج تعنى طريق واحد للدخول,طريق واحدة للخروج تعنى طريق واحدة للدخول,0.9986907,Egyptian
لدينا منزل صغير و... .,عندنا بيت صغير و... .,0.9986588,Egyptian
أين المخدرات بحق الجحيم ؟,أين المخدرات بحق الجحيم؟,0.9986561,Egyptian
لكنه ظن أنه يعرفني,لكنه فكر أنه يعرفني,0.9986132,Egyptian
وقالت أنك هربت من المكان,وقالت انك هربت من المكان,0.9985863,Egyptian
لا، فإسرائيل كان خطرا وليس ساتور فارق صغير,لا، فإسرائيل كانت خطر وليس ساتور فارق صغير,0.998577,Egyptian
أنا متأكدة بأنه مفتوح للعامة,أنا متأكد إنه مفتوح للعامة,0.9985405,Egyptian
انه مواطن سوري على قائمة مراقبة الإرهاب,إنه مواطن سوري موجود على قائمة مراقبة الإرهاب,0.9984666,Egyptian
لقد كانت محقة بشأني,هي كانت محقة بشأني,0.9983736,Egyptian
طبيبي النفسي قال إنني يجب أن أعتذر لك,طبيبي النفسي قال إني لازم أعتذرلك,0.99833965,Egyptian
علينا ان نتحدث عن موضوع الحمل,علينا ان نتكلم فى موضوع الحمل,0.9982752,Egyptian
قوتهم هي شعبيتهم,قوتهم هى شعبيتهم,0.99814403,Egyptian
ـ مُتأكدة أنكِ على ما يرام ؟,ـ متأكدة إنكِ على ما يرام؟,0.9981259,Egyptian
إنها بين اليونانيين والألمان,هي بين اليونانيين والألمان,0.99811554,Egyptian
أنا كنت أحاول مساعدتك,أنا كنت بحاول أساعدك,0.99808276,Egyptian
إنها بلد عظيم,إنها بلد عظيمة,0.9980607,Egyptian
أعتقد أنها طريقة جميلة لتكريم جدك,بعتقد إنها طريقة جميلة لتكريم جدك,0.99805975,Egyptian
حسنا، أنت في المكتب الروسي.,تمام، انت في المكتب الروسي.,0.9979801,Egyptian
أنا يهودي. 100% يهودي,أنا يهودي. يهودي 100%,0.99797404,Egyptian
ــ هل انت متأكد ؟,- إنت متأكد؟,0.99795496,Egyptian
انها النهاية بالنسبة لها لن ترى البحر ابدا,هي النهاية بالنسبة لها لن ترى البحر أبدا,0.99794674,Egyptian
"إنها معجزة صغيرة, لو فكرتي بها",هي معجزة صغيرة لو فكرتي فيها,0.99790615,Egyptian
أي دليل على أنها كانت هناك ؟,أي دليل على انها كانت هناك ؟,0.9978875,Egyptian
"حسنا , باريس هي مدينة الحب",طيب .. باريس هى مدينة الحب,0.9978863,Egyptian
- أنت ستكون نائب الرئيس.,- انت هتكون نائب الرئيس.,0.9978649,Egyptian
لدي ابن عم وهو محامي دفاع,أنا عندي ابن عم وهو محامي دفاع,0.99776065,Egyptian
انا لدي خطة للتعليم بالفعل,أنا عندي خطة للتعليم بالفعل,0.99766695,Egyptian
يجب أن نصلح السفينة,لازم نصلح السفينة,0.9976343,Egyptian
السحر متواجد في عقلك,السحر موجود في عقلك,0.9974202,Egyptian
من خلال تدريب مماثل، تعاونت قوى البوليس مع البنوك لإيجاد التدابير المناسبة،,من خلال تدريب مماثل، تعاونت قوات البوليس مع البنوك لإيجاد التدابير المناسبة،,0.99732226,Egyptian
- لقد تكلمت مع كارلوس.,- اتكلمت مع كارلوس.,0.99724317,Egyptian
نحن بصدد الحديث هنا عن أنظمة التواصل بين البشرية في العصر الرقمي,إحنا بنتكلم هنا عن أنظمة التواصل بين البشرية في العصر الرقمي,0.9972341,Egyptian
هل لديك أي شاهد ؟,هل عندك أي شاهد؟,0.99720895,Egyptian
لقد قابلته فى الحانة,اتقابلته في الحانة,0.99717355,Egyptian
التحقيق في إختطاف أختك... والمؤامرة الحكومية حوله.,التحقيق في إختطاف أختك.... و المؤامرة الحكومية حوله.,0.9970635,Egyptian
- نسيت غسل يدي.,- نسيت أغسل إيدي.,0.9970199,Egyptian
ـ آسف جدًا، يا (جيمس) ـ شكرًا لك,ــآسف جداً يا (جيمس) ــ شكرًا لك,0.99696296,Egyptian
وبعدها فكرت بها . بشكل منطقي وفكرت .,وبعدها فكرت فيها. بشكل منطقي وفكرت.,0.99692243,Egyptian
سمعت مادوري تغني في الحمام,سمعت مادوري بتغني في الحمام,0.9968983,Egyptian
-أنا أحاول مساعدتك,-أنا بـحاول أساعدك,0.9968945,Egyptian
سمعتها على الراديو.,سمعتها في الراديو.,0.9968402,Egyptian
هل تتفحص تقرير المزرعة ؟,هل بتتفحص تقرير المزرعة؟,0.9967728,Egyptian
هل كان السبب هو طلب من نائب الرئيس؟,كان السبب هو طلب من نائب الرئيس؟,0.99675167,Egyptian
"-لا , فأنا مستعجلة",-لأ، أنا مستعجلة,0.99675155,Egyptian
أنامسرورلسماعصوتك.,أنا مسرور لسماع صوتك.,0.9967094,Egyptian
لا - اذن هذا سهل جداً -,لا - إذن ده سهل جداً -,0.9967035,Egyptian
إنها من بلدة زراعية صغيرة .,هى من بلدة صغيرة زراعية,0.9966805,Egyptian
أخشى أن يكون صعبا.,أخاف يكون صعب.,0.9966568,Egyptian
السرعة هي مفتاح التقدم.,السرعة هى مفتاح التقدم,0.9966357,Egyptian
كان شجاعاً جداً في ال 48,كان شجاع جدا في ال 48,0.99647707,Egyptian
ـ كان لدي انطباع بأن... ؛,-كان عندي انطباع ان...,0.9964583,Egyptian
هو صحفي ممتاز ومصدر موثوق,هو صحفي ممتاز ومنبع موثوق,0.99644285,Egyptian
شكراً لك على كل حال,متشكر على كل حال,0.9963576,Egyptian
انا كنت هنا طول الليل,كنت هنا طول الليل,0.99634504,Egyptian
- الاكتشافات الأثرية من هذا القرن.,- الاكتشافات الأثرية من ها القرن.,0.9962996,Egyptian
وعدكِ الأطبّاء ببضعة شهور إضافية,وعدوك الأطبّاء ببضعة شهور إضافية,0.99629724,Egyptian
ومن هو أحد السبل لإنقاذ العالم.,ومن هو أحد السبيل لإنقاذ العالم.,0.9962795,Egyptian
و في بعض الأحيان تعجبني شخصيتي أكثر من شخصيتك,و في بعض الأحيان تعجبني شخصيتي أكتر من شخصيتك,0.9962642,Egyptian
لقد كنا قلقون بشأنك,كنا قلقانين عليك,0.9962176,Egyptian
كانت أول مرة في حياتي شعرت فيها بالسعادة,كانت أول مرة في حياتي حسيت بسعادة,0.99620456,Egyptian
ضيفي كان (توم جايمس).,ضيفي كان (توم جيمس).,0.9961936,Egyptian
أولاً يجب أن نتأكد,أولا لازم نتأكد,0.99615395,Egyptian
الى اللقاء - الى اللقاء، كان من الرائع رؤيتك مجدداً -,الى اللقاء - إلى اللقاء، كان رائعًا أن أراك مرة أخرى,0.99606305,Egyptian
طلبتُ منهُ المساعدة في علاجك,طلبت منه المساعدة في علاجك,0.99599516,Egyptian
35درجة و40 دقيقة جنوباً، على 58 درجة و40 دقيقة غرباً,35 درجة و40 دقيقة جنوب، على 58 درجة و40 دقيقة غرب,0.9959913,Egyptian
في بعض الاحيان هذه الاشياء تكون نفسية,في بعض الأحيان هذه الأشياء تكون نفسية,0.99594474,Egyptian
لا، لا، لا، لا لا، لا، لا لا، لا، لا، لا، لا لا، لا، لا، لا... .,لا، لا، لا، لأ لأ، لا، لا، لأ، لا، لا، لا، لأ، لا، لا، لا... .,0.9959377,Egyptian
جميع العائلة كانت في الحفلة,الأسرة كلها كانت في الحفلة,0.99591315,Egyptian
أهم يوم في حياتك.,أهم يوم في حياتك,0.99591106,Egyptian
نعم، شكرا لك أو لا، وشكرا لكم؟,نعم، شكراً لكَ أو لا، شُكراً لكو؟,0.9958811,Egyptian
أنا الخطر بالأحلام,أنا الخطر على الأحلام,0.9958356,Egyptian
"تعرفي , انا سأتصلُ به.",اعرفي، أنا سأتصل به.,0.99582314,Egyptian
انا اسفه لما سمعت عن والدك.,أنا أسفة لما سمعته عن والدك.,0.9958215,Egyptian
بعض أكبر، مع حرية الوصول إلى عدة غرف.,بعض أكبر مع حرية الوصول لعدة غرف.,0.99580956,Egyptian
-انا احاول مساعدتك.,-أنا بـحاول أساعدك,0.9958087,Egyptian
أكثر من 2700 قرارات من أجل المسيح، أيها السادة,أكثر من 2700 قرار من أجل المسيح، أيها السادة,0.9957578,Egyptian
-هذا كله خطأك,- ده كله غلطتك,0.99571335,Egyptian
أنا القناة المثالية.,أنا القناة المثالية,0.99566776,Egyptian
-حسناً، مع السلامة,-تمام، مع السلامة.,0.99565125,Egyptian
أنا على استعداد للقيام بذلك...,وأنا مستعد للقيام بذلك ...,0.99554104,Egyptian
هل كان الرومان مؤدبين عندما نثروا الملح على أرض قرطاج حتي يتأكدوا من أنه لن ينبت هناك شيء ثانية,هل كان الرومان مهذبين عندما نثروا الملح على أرض قرطاج حتي يتأكدوا من أنه لن ينبت هناك شيء ثانية,0.99553335,Egyptian
انت استعملت قطعة الاسبوع الماضى,أنت استعملت قطعة الأسبوع الماضي,0.99542856,Egyptian
أنتى أميرة وهى ملكة,إنتي أميرة وهى ملكة,0.9953487,Egyptian
ولقد نقلت هذا الشيء اليه ولقد كان مشغولا في الاعتناء بي وذلك كان سبب في انه فقد شيء من طفولته,ولقد نقلت هذا الشيء إليه ولقد كان مشغولاً بالإعتناء بي وذلك كان سببًا في أنه فقد شيئا من طفولته,0.9953127,Egyptian
هل لنا أنّ نفهم أنكَ تتمتع بهبة المقدرة على التمييز بين الكذب و الحقيقة؟,هل لينا أن نفهم إنك تتمتع بهبة المقدرة على التمييز بين الكذب و الحقيقة؟,0.9952855,Egyptian
إنّها سبب زيارتي.,دى سبب زيارتي.,0.9952024,Egyptian
دعا مدير المدرسة الى يوم رياضي رسمي,دعا مدير المدرسة ليوم رياضي رسمي,0.9951661,Egyptian
كعضو من المشاهدين نعرف هذه الشخصيات و ان نراهم يوضعون في مواقف فردية و غرائب شخصياتهم,كأحد المشاهدين نعرف هذه الشخصيات و أن نراهم يوضعون في مواقف فردية و غرائب شخصياتهم,0.9950981,Egyptian
كنتُ فخوراً به,كنت فخور بيه,0.9950885,Egyptian
هل كنت تكذب عليّ ؟,كنت بتكذب عليا؟,0.9950768,Egyptian
أنه أسماك ميتّة وعظام طيور.,هي أسماك ميتة وعظام طيور.,0.9950671,Egyptian
"أتعلمين, مرة مونا حلمت بأني صدمت كلباً بسيارتي",اعرفي، مرة مونا حلمت اني صدمت كلب بسيارتي,0.9950609,Egyptian
كنت في باريس، في زيارة..,كنت باريس، فى زيارة..,0.9950546,Egyptian
كل ليلة وأنا أتابع الأخبار على التلفزيون,كل ليلة وأنا بتابع الأخبار على التليفزيون,0.99500895,Egyptian
إنه تعبير متناغم عن الصداقة بين الشعوب الألمانية واليابانية,هو تعبير متناغم عن الصداقة بين الشعبين الألماني والياباني,0.99500316,Egyptian
هناك سبب يسمونه كولومبيا,فيه سبب يسموه كولومبيا,0.99498916,Egyptian
ـ لقد ارتكب جريمة فيدرالية ـ على أرض عسكرية,- لقد إرتكب جريمة فدرالية - على أرض عسكرية,0.99487865,Egyptian
-حسنًا، لنخرج من حمام السباحة ...,-تمام، بينا نخرج من حمام السباحة...,0.9948703,Egyptian
أحبك جداً يا (سام).,بحبك جدًا يا (سام).,0.99484193,Egyptian
سمعتهم يتحدثون ويضحكون,سمعتهم بيتكلموا ويضحكوا,0.99482673,Egyptian
ومن الصادرات الرئيسية هي المنسوجات والأحذية والأرز.,ومن الصادرات الرئيسية المنسوجات والأحذية والأرز.,0.9947655,Egyptian
تعال هنا، تعال هنا، تعال هنا,تعالى هنا، تعالى هنا، تعالى هنا,0.9947537,Egyptian
رمت (كلير) الصندوق الموسيقي إلى النار بنفسها.,رمت (كلير) الصندوق الموسيقي في النار بنفسها.,0.99475086,Egyptian
-أنت فتاة ذكيّة,- إنتي بنت ذكية,0.9946902,Egyptian
وكانت تضحك,و كانت بتضحك,0.9946642,Egyptian
-هل لديكُم اخبار عن إبني؟,-هل عندكوا اخبار عن ابنى؟,0.9945657,Egyptian
أنتي تسألين سؤالا بسيطا,إنتي بتسألي سؤال بسيط,0.9945312,Egyptian
اسمع لدينا مشكله كبيره هنا,اسمع عندنا مشكلة كبيره هنا,0.994498,Egyptian
"على الأقل , أسبوعين.",أسبوعين على الأقل,0.99439335,Egyptian
ياالهى انا اسف,يا ربى أنا آسف,0.9943756,Egyptian
- انهم بحاجة الى التحرك بسرعة.,- هما محتاجين يتحركوا بسرعة.,0.99432856,Egyptian
أنت حقاً أخٌ رائع,أنت في الحقيقة أخ رائع,0.99430496,Egyptian
-لقد أرسلنا الملك,- أرسلنا الملك,0.9942735,Egyptian
بالطبع قابلته لأول مره في مطار بومباي,طبعًا قابلته أول مرة في مطار بومباي,0.99423105,Egyptian
نشاط حقيقي لجذب أنتباه حقيقي,نشاط حقيقي لجذب انتباه حقيقي,0.9942055,Egyptian
بالطبع هي لعبة، فالحياة لعبة,أكيد هي لعبة، فالحياة لعبة,0.99412364,Egyptian
التمثال كَانَ هدية مِنْ الشعبِ الفرنسيِ.,التمثال ده كان هدية من الشعب الفرنساوى.,0.9940337,Egyptian
هذه مشكلة الحكومة الجديدة,دى مشكلة الحكومة الجديدة,0.99402434,Egyptian
أنا فخورة به.,أنا فخورة بيه.,0.99396634,Egyptian
دفنوهم في الصحراء,دفنوهم في الصحرا,0.99396586,Egyptian
أنا كنت مستعد لمساعدة كل من يطلب,أنا كنت مستعد اساعد كل اللي يطلب,0.99394417,Egyptian
لأنه يجب أن نخبر الرئيس,لانه لازم نخبر الرئيس,0.99390376,Egyptian
. إنها لعبة صغيرة نقوم بها,إنها لعبة صغيرة نلعبها,0.9937978,Egyptian
لديه أزمة ثقة.,عنده أزمة ثقة.,0.993797,Egyptian
أنت الوحيدة المتواجدة هنا,أنتي الوحيدة اللي هنا,0.99375725,Egyptian
هذا جزء القمر المكتمل.,دى جزء القمر المكتمل.,0.9937531,Egyptian
موقفك من الشك والأرتياب,موقفك من الشك والارتياب,0.9937264,Egyptian
شكراً لمجيئكِ لزيارتي,شكرًا على مجيئك تزورني,0.9937125,Egyptian
لديه رخصه قيادة من كاليفورنيا,عنده رخصة قيادة من كاليفورنيا,0.99363947,Egyptian
تقريبا اختفت جميع أشكال الحياة على كوكب الأرض.,كل أشكال الحياة على كوكب الأرض تقريبا اتختفت,0.99363863,Egyptian
-ينبغي أن يعرفوا الحقيقة,- لازم يعرفوا الحقيقة,0.9936185,Egyptian
كلنا نعلم بأن التغيير جزء من الحياة,كلنا عارفين إن التغير ده جزء من الحياة,0.9936056,Egyptian
انت لا تصدقني؟,أنت مش مصدقني؟,0.9936025,Egyptian
- ضوء قمر - أزرق،أزرق،أزرق،ضوء القمر,- ضوء القمر - أزرق،أزرق،أزرق،ضو القمر,0.99353415,Egyptian
- يا إلهي ، شكراً يالله -,- يا إلهي، الحمد لله,0.9935178,Egyptian
إنه على حق .إنه على حق؟,هو على حق . هو على حق ؟,0.99351156,Egyptian
مجلس الآباء ينتخب رئيساً جديداً,مجلس الآباء ينتخب رئيس جديد,0.9934125,Egyptian
بعض هذا البيض أكبر من الحجم الطبيعي بحوالي 20 و 30 مرة,بعض البيض ده أكبر من الحجم الطبيعي بحوالي 20 و 30 مرة,0.993328,Egyptian
فمن الممكن انه سرق مسدسا من عميل,من الممكن إنه سرق مسدس من عميل,0.9932771,Egyptian
انها كانت تساعد أختها,كانت بتساعد أختها,0.9931979,Egyptian
انت اقدم محقق في هذ المكتب,انت اقدم محقق في المكتب ده,0.99319506,Egyptian
احد اساتذتي في علم النفس من امريكا قد جاء لزيارة هونج كونج,واحد من أساتذتي في علم النفس من أمريكا جاء لزيارة هونج كونج,0.9931838,Egyptian
.. كنت أفكّر طوال الليل,كنت بفكّر طول الليل,0.9931466,Egyptian
لديّ 10 مليون مواطن يجب أن أحميهم,أنا ليا 10 مليون مواطن لازم أحميهم,0.9931232,Egyptian
وخلال خمسون سنة وفي عمر واحد تعرضت الأرض الى تغيير جذري كبير أكبر من جميع الأجيال السابقة,وخلال خمسين سنة وفي عمر واحد اتعرت الأرض لتغير جذري كبير أكبر من جميع الأجيال السابقة,0.9931216,Egyptian
. لدي فكرة أفضل,عندي فكرة أحسن,0.99304163,Egyptian
الفريق الأزرق جاهز ، و أنت تعلمين ذلك,الفريق الأزرق مستعد ، و انتي عارفه كده,0.99300754,Egyptian
كيف كان تأثير وفاة والدك عليك؟,ازاى كان تأثير وفاة أبوك عليك؟,0.9930004,Egyptian
يسرني أن دموع ابنتنا تسعدك لهذه الدرجة,أنا سعيدة جداً أن دموع ابنتنا بتسعدك بالشكل دا,0.9929931,Egyptian
"(كارلوس), إستمع إلي, إستمع إلي!",(كارلوس) اسمع مني اسمع مني!,0.9929601,Egyptian
علاقتنا بين الطاقة ومادة الكون,علاقتنا بين الطاقة والمادة فى الكون,0.9929477,Egyptian
أشكرك,شكراً,0.9928969,Egyptian
لديك رسالة جديدة واحدة تلقت في الساعة 3: 00 صباحاً,عندك رسالة واحدة جديدة استلمتها الساعة 3:00 صباحاً,0.9928321,Egyptian
أنت تحتاج الى مكان لتعيش فيه,انت محتاج مكان تعيش فيه,0.9927973,Egyptian
- انه يعرف كل اسرارهم القذرة,- إنه يعرف كل أسرارهم القذرة,0.99272954,Egyptian
و اتمنى لك يوماً سعيداً ايضاً,وبتمنى لك يوم سعيد كمان,0.99272895,Egyptian
أنت يجب أن تكون فخور بها.,إنت لازم تكون فخور بيها.,0.9927081,Egyptian
-في المطر و الضباب و الرياح,-في المطر والضباب والريح,0.9926981,Egyptian
"يا الهي, يا الهي.",يا إلهي. يااااااااه,0.9926857,Egyptian
"و تمر ساعة, ساعتين",و تمر ساعة ساعتين,0.9926482,Egyptian
الحب يكون أقوى من الإيمان,الحب بيكون أقوى من الإيمان,0.9926357,Egyptian
"حسناً, أنا اسفه لازعاجك.",تمام، أنا أسف على إزعاجك,0.9925684,Egyptian
سمعتك في المرة الأولى,سمعتك أول مرة,0.99254906,Egyptian
"صدقيني , انا اعرف القصة",تصدقي، أنا عارف القصة,0.9925428,Egyptian
انا اسف على كل شيء ..,أنا آسف على كل حاجة ..,0.9924982,Egyptian
كان لابد أن أدافع عن نفسي,كانت لازم أدافع عن نفسي,0.9924725,Egyptian
كنت أفكر - هذا خطير -,كنت بفكر - ده خطير,0.9924552,Egyptian
هل تعرف من أنا؟,إنتَ عارف مين أنا؟,0.9924452,Egyptian
هل تعرف من أنا؟,إنتَ عارف مين أنا؟,0.9924452,Egyptian
توسّل (بول) إليّ... لأساعده,اتوسّل (بول) إليّ... عشان أساعده,0.99243855,Egyptian
الانفتاح اما التغيير هو اول خطوة على طريق الصحة العقلية,الانفتاح بس التغيير هو اول خطوة علي طريق الصحة العقلية,0.99243134,Egyptian
هل تعرف من أكون؟,إنتَ عارف مين أنا؟,0.9924207,Egyptian
انتقلنا هنا بعد أن اعترف تشارلز.,انتقلنا هنا بعد ما اعترف تشارلز.,0.99238366,Egyptian
(أنا آسف يا (دين - (أعلم بأنّكَ كذلك يا (سام -,أنا أسف يا (دين - (أعرف انك كده يا (سام -,0.99236727,Egyptian
حسنا.. لديه افضل عقل تجاري في جيله,كويس.. عنده أحسن دماغ تجارية فى جيله,0.99232817,Egyptian
انا اسفه اذا كنتِ متأسفة,أنا أسفة لو متأسفة,0.9923045,Egyptian
ابنك سريع التعلم بالسيف,إبنك سريع التعلم بالسيف,0.9922628,Egyptian
على ايه حال هذا انطباعي الأول,على ايه حال دا انطباعي الاول,0.99225986,Egyptian
سمعته بالراديو,سمعته في الراديو,0.99223185,Egyptian
♫ هل يُـمكنك سماع قلبي؟,♫ هل ممكن اسمع قلبي؟,0.99221706,Egyptian
ولكني كنت افكر بما قلته.. عن حلمك,لكن أنا كنت بفكّر فى اللى قولتيه.. عن حلمك,0.9921771,Egyptian
و اعتبارا من صباح اليوم هو في عداد المفقودين,ومن صباح اليوم، هو فى عداد المفقودين,0.9921393,Egyptian
كانت في هوليوود هل كنت في لوس أنجيلوس حينها؟,كانت في هوليوود هل كنت في لوس أنجيلوس وقتها؟,0.9921001,Egyptian
ومع تواجد ابنتي بخطر، قد فشلت أنت,و مع وجود ابنتي بخطر، قد فشلت انت,0.9920968,Egyptian
حسنٌ، أنا متأكد أنّ لديك كلام.,تمام، أنا متأكد أن عندك كلام.,0.99206185,Egyptian
الطيور تحلق شمالا و الريح تهب في الغرب,الطيور بتطير فى الشمال و الريح هبت فى الغرب,0.9920598,Egyptian
السؤال هو ، من أنت؟,السؤال، مين انت؟,0.9920485,Egyptian
تحقيقي يتضمن تحقيقَ جريمتكَ ،حسناً؟,تحقيقي يتضمن تحقيق جريمتك، كويس؟,0.99202645,Egyptian
يقولون أنها ماتت من كسرة القلب,بيقولوا انها ماتت من كسرة القلب,0.992005,Egyptian
هذا نادي اجتماعي,ده نادي اجتماعي,0.9919511,Egyptian
-مرحباً ، لا ، لا,- أهلا ، لا ، لا,0.9919401,Egyptian
"مع إنتهاء العرض , ما رأيك ؟",مع انتهاء العرض، إيه رأيك؟,0.99191177,Egyptian
قد يهرب من المستشفى هنا,هو ممكن يهرب من المستشفى هنا,0.99189144,Egyptian
