,src_lang,src_text,HARM_CATEGORY_SEXUALLY_EXPLICIT,HARM_CATEGORY_HATE_SPEECH,HARM_CATEGORY_HARASSMENT,HARM_CATEGORY_DANGEROUS_CONTENT
45,Levantine Arabic,شو بدكم ليش حبيبي؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
46,Levantine Arabic,هو انت بواق وحرامي يا نايل,NEGLIGIBLE,NEGLIGIBLE,HIGH,NEGLIGIBLE
47,Levantine Arabic,لا تخاف نزل إيدك نزل إيد,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
48,Levantine Arabic,مشان لا تطلع عليه عشان لا تتوحم علية,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
49,Levantine Arabic,رت تسلملي عينك إنت وكل حوانش تابعونك حبيبي شو رأيك انه اليوم سهرة كيك سهرة على الذوق انا,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
50,Levantine Arabic,بيضع إصبعه هذا فوق,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
51,Levantine Arabic,يا عمتي أنا تعرفت على نورا بالصدفة وأعجبت فيها وحبيتها وخطبتها,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
52,Levantine Arabic,هي المسيطر الأول اليوم حتى هي,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
53,Levantine Arabic,نفس هاي تاع الحريق إن لما يحصل الحريق,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
54,Levantine Arabic,اخرسي ولا تجيبي سيرة الله على لسانك ها,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
55,Levantine Arabic,كنت وهلأ مافي إرجعي على أوظتك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
56,Levantine Arabic,عادةً بأخذ مضاد للمورفين,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
57,Levantine Arabic,و وسو هو يمثل رمز ل رمز سلبي للأفريكان أميركانز بأميركا بس هو أيضا رمز جدا سلبي للنتيف أميركانز والأميريكان انديانز,NEGLIGIBLE,MEDIUM,HIGH,NEGLIGIBLE
58,Levantine Arabic,وت وأعرف إنه هذول الأشلاء هنا لطلال,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
59,Levantine Arabic,هاي الطرق الطبيعية للتخلص من الأدوية,NEGLIGIBLE,NEGLIGIBLE,HIGH,NEGLIGIBLE
60,Levantine Arabic,هاي الطرق الطبيعية للتخلص من الأدوية,NEGLIGIBLE,NEGLIGIBLE,HIGH,NEGLIGIBLE
61,Levantine Arabic,روح تزوجها وخلصنا يا أخي,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
62,Levantine Arabic,اه ليـ إه. سد رمق,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
63,Levantine Arabic,أنا ما عندي نسوان تطلع بدون إذني,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
64,Levantine Arabic,تعودت إنه كل شي بحبه,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
65,Levantine Arabic,لرغبته في الخروج من الذات الطفولية,LOW,NEGLIGIBLE,MEDIUM,LOW
66,Levantine Arabic,هو صابته حالت كريزا معاه حق اطلع اطلع,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
67,Levantine Arabic,حتى أتنازل عنها هذا إللي بطلب,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,LOW
68,Levantine Arabic,اسع بحالك، وتحرك على اتجاه أمن بيادر وادي السير,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
69,Levantine Arabic,كيف بدنا نغرقن وسمعتهم بلش يقلي ولو ما بدك تدافع عن سمعة عائلتك الشخصي، ولك ايه يعني تهديد,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
70,Levantine Arabic,روح إطلع إطلع أصورك,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
71,Levantine Arabic,انت كمان ما اليك من الحظ نصيب,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
72,Levantine Arabic,لازم الليلة يشوفك في صيده كتير مرتبة,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
73,Levantine Arabic,لأ بس في هادا هادا فاز وأخذلي تسعة ونص,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
74,Levantine Arabic,من ال من مادة مخدرة من نوعٍ ما,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,HIGH
75,Levantine Arabic,لقيته أنا عندي تلاتة كتير واو,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
76,Levantine Arabic,خليني أعرفك عن حالي أنا من عيلة غنية كتير وعيلتي وضعوني ضمن إطار هذا الزوج الرزيل الظالم الحقير عبد الجبار بصراحة أنا بتمنى موت وما أرجعله,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
77,Levantine Arabic,عندي فكرة عن الأمور يللي عم ببحث عنها مع شريكة الحياة,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
78,Levantine Arabic,لامة هذه الحرمة، يا ول شبيك شبيك؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
79,Levantine Arabic,مثل يعني ما أدري إنه متل الحميرد يعني سمتايمز يعني صراحة,MEDIUM,NEGLIGIBLE,LOW,NEGLIGIBLE
80,Levantine Arabic,إن شاء الله يا حايره إني أحل وأربط فسح لرقبتك وأربط السانك ها,MEDIUM,NEGLIGIBLE,LOW,MEDIUM
81,Magharebi Arabic,مستحيل نكونو بلد سياحي اجنبي يشوف عباد هكا يهرب يحير في الغباء كون يطيح واحد فيهم تجي امو تندب و تمسحها في سائق القطار المفروض يمنعو الزواج في الجزائر سيرتو الجيل الجديد راح يجيبو كوارث,NEGLIGIBLE,MEDIUM,HIGH,NEGLIGIBLE
82,Magharebi Arabic,ماتحكولهاش واش ره صاير فيا بلي نبكي كي نتوحشها .. مزال مزال عشقك في البال ننساك محال يلي نسيتنا,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
83,Magharebi Arabic,ماشي صورتلهم فيديو، هي إسراء لي صورت الفيديو وحطاتو في السناب وطاقات فيه غير لي تدير فيهم ثقة ومنهم بنت عمها الكلبة، راحت داتو لباباها وخواتها وحرشتهم. على بالك واش تفكرت كي قريت القصة تفكرت نهار قلتيلنا حتى في عائلتك ماتخليش عندهم تصاروك تشفاي,MEDIUM,NEGLIGIBLE,MEDIUM,LOW
84,Magharebi Arabic,وما تستغليش موت ولاد بلادك لأغراض سياسية,NEGLIGIBLE,LOW,NEGLIGIBLE,MEDIUM
85,Magharebi Arabic,مهبوله مليح بزاف تخافي يقلدوك وانا نقول ويني الطفله غايبه علي التعليقات,MEDIUM,NEGLIGIBLE,LOW,NEGLIGIBLE
86,Magharebi Arabic,بهدلوا بينا الله لاتربحهم شوهوا الاسلام والمسلمين ربي ينتقم منهم ان شاء الله,NEGLIGIBLE,MEDIUM,HIGH,NEGLIGIBLE
87,Magharebi Arabic,انا تاني عندي بزاف,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
88,Magharebi Arabic,ماكانش عندك حل الا تربطيه وتقلبي وجهك من قدامي لانه انا والتفاهات مانتفاهمش ياتكبري مستوي الحديث يا بلاها لانه هالهبال اللي راكم فيه يذكرني بحال البلاد اللي ماشي وينزل للحضيض فبلاها أحسنلك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
89,Magharebi Arabic,يعني يربو ولادهم على أن الرجولة تتمثل في ضرب المرأة,LOW,MEDIUM,MEDIUM,MEDIUM
90,Magharebi Arabic,لأنهم يعرفون ما راح يقبلو,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
91,Magharebi Arabic,ما شفتها غير درك,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
92,Magharebi Arabic,ناس فلعز وناس فدز,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
93,Magharebi Arabic,لازم تديريلهم هكا باش تبينيلهم شكون الأقوى بوتين كي يعرف ميركل عندها فوبيا الكلاب نهار راح لقمة المانيا روسيا في منزل ميركل دا معاه كلبي يجي كثر من ميركل فالحجم شافتو تغاشات ريحو يفطنو فيها الرعب حكمها سينيات معاه عده اتفاقيات,NEGLIGIBLE,LOW,HIGH,NEGLIGIBLE
94,Magharebi Arabic,مش هنخلص ههههههههههههههههه وهيقولو اهو حبيبكو بقي خاين,LOW,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
95,Magharebi Arabic,شحااال منحبش اللي يحشر نفسه بين اللحم والظفر على أساس كتالوني أكثر منهم شجع فريقك واخطيك مما لا يعنيك,,MEDIUM,MEDIUM,NEGLIGIBLE
96,Magharebi Arabic,لمياء بقيه الكوفرات عندك قلتي خمسة أو ستة؟ ممكن تعطيها لي رجاءً,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
97,Magharebi Arabic,هوما لي يعلمونا الجهل,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
98,Magharebi Arabic,وين شفتي هذي المتعه,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
99,Magharebi Arabic,انا ديجا نكرهم و نعافهم البهايم تاع الخليج,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
100,Magharebi Arabic,خلي ترامب يسوقك من أذنك واخرسي,NEGLIGIBLE,NEGLIGIBLE,HIGH,MEDIUM
101,Magharebi Arabic,انا وقتها ياريت انشقت الأرض وبلعتني,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
102,Magharebi Arabic,نتمنى يعمل بقوة شخصيته ويخليهم يحللوا وحدهم,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
103,Magharebi Arabic,هذاو راهم ولاد للفشوش هوما لي معمرين تما مامسوقين لشي مقاطعه,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
104,Magharebi Arabic,قول شحال من ربعه دريال البيارات ديال الدشيرة كاملين شبعو عندي ربعاوت مبجوغين,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
105,Magharebi Arabic,توحشناك بزاف، أنا قلت نسيت كلمة مرور تويتر,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
106,Magharebi Arabic,هم هههههههه سليماني والله بزاااف عليه,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
107,Magharebi Arabic,لعنه الله عميل إسرائيل وحاكم أمارة الفسق,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
108,Magharebi Arabic,ده تهديد علني ممكن تروح في داهية,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
109,Magharebi Arabic,شفناهم هدو لي راهم يتكلمو كي جاء رئيس فرنسا واش دارو ياااااخي منافقين,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
110,Magharebi Arabic,كيقتلو بالضحك هههههههه,NEGLIGIBLE,LOW,MEDIUM,MEDIUM
111,Magharebi Arabic,يلا معليش يا جابري هذا سعود الله كاتبه عليكم مثل العقاب,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
112,Magharebi Arabic,حابة نسرقها ونضعها في الفيس,LOW,LOW,MEDIUM,HIGH
113,Magharebi Arabic,والله أنا شايفه إنو يلي برا المصحة هم المجانين,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
114,Magharebi Arabic,ممكن تترجمها لصحافتكم لي جاهزه لنشر الأكاذيب و الفتن,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
115,Magharebi Arabic,اخيرا شفناه في لوك جميل ولطيف وظريف و ........ ههههه,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
116,Magharebi Arabic,واش تحبي نجيبلك من جيجل بنت لبلاد طلباتك اوامر,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,LOW
117,Magharebi Arabic,شفتي الزين حاطه كي الفكرون تاعنا واش نقولك رانا موخدين,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
118,Magharebi Arabic,ههههه ريما وحدك والله انت سكر تويتر هههه,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
119,Magharebi Arabic,لحد الآن ما زال ما بغاتش تسرط ليا باش نحسن هاد الخراي ديال كورتوا,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
120,Magharebi Arabic,ما شاء الله روعة ان شاء كي تفتح الحدود اول شي نديرو نجي لديك المكان,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
121,Magharebi Arabic,هي لي راهي تسب في الناس وتتبلا فيهم ومابعد دير حملات هههه تروح تتربي هيا ومبدع تحبس الناس ماشفتش حابسه كيفها في الدنيا,NEGLIGIBLE,NEGLIGIBLE,HIGH,MEDIUM
122,Magharebi Arabic,ياز خاين ودي هتكون النهاية,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
123,Magharebi Arabic,علابالي قلبك طيب بززززززززاف نموووت عليك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
124,Magharebi Arabic,على الأساس أنت كيتعطي الجمل المفيدة حياتكم كلها وراء التلفون وتخسروا في الهدرة زعما كتصنعوا نووي,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
125,Magharebi Arabic,كنقولو العود اللي تحكرو يعميك,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
126,Magharebi Arabic,صح هبلونا بالاشاعات و كلشي متوقع من هاد الفشلة و المفسدين,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
127,Magharebi Arabic,قال قدها قال ! ! ! راح تشوفي وش يديرو فينا راح يحاربونا في الرسوم المتحركة كيف إيران,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
128,Magharebi Arabic,شفتي صحافتنا وين وصل مستوى تفكيرهم,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
129,Gulf Arabic,إحنا بنضحك على نفسنا من قديم يعني مو بس في الموضوع الاقتصاد الإسلامي,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
130,Gulf Arabic,إيش انتي انتي سموره تطلعي انتي سمورة,LOW,LOW,MEDIUM,NEGLIGIBLE
131,Gulf Arabic,حاار مره! حااارطيب..بس عشان الناس يعرفو احنا حبايب واخوان,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
132,Gulf Arabic,كلهم مفلسيين هل كلنا مفلسين,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
133,Gulf Arabic,ولو ما سويته الدنيا ما حتموت,,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
134,Gulf Arabic,عربي مسوينهم لا مابات عالمية,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
135,Gulf Arabic,مرة مهم إنه نحس إنه هذا الشي نحتاجه,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
136,Gulf Arabic,الله يقطع شكله على حركة مره تقهر، كيف أعطيني بسرعة، أوكي نضع فوسفور كم يصعب أعرف اهرب اهرب,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
137,Gulf Arabic,خذي واحد يعبدك ترى الحب يجي بعدين,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
138,Gulf Arabic,في تطوير مهاراته و تبدأ تسحب نفسك شوي,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
139,Gulf Arabic,لا بد أول إنه أنا ماني جاي أسلم هذه مو قضيتي,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
140,Gulf Arabic,فلما يكونون هذولا المسلسلين دخلوني هذا العالم إللي خلوني اليوم أتكلم معاك عزيز بهذا الحب وهذا,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
141,Gulf Arabic,أضحكك يا كذابه وأنتي معصبة تقعدي تضحكين تكوني معصبة ولا بتاع هذا وأجي اضحكك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
142,Gulf Arabic,أوكي هنا الصراحة يعني أنا ما أحس إني مرتاح مرة أوكي دقيقة دقيقة بس آ أقدر أنزل,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
143,Gulf Arabic,لو تحطيله سم فيران يكون أحسن,NEGLIGIBLE,NEGLIGIBLE,LOW,HIGH
144,Gulf Arabic,فعلا احسن يا مضروب ما شاء الله تبارك الله بس على أي حال يلزمك تقعد يومين ثلاث خمسة عشر,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
145,Gulf Arabic,اصبببر في سيارة جاية,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,HIGH
146,Gulf Arabic,يستاهلون يستاهلون، عيال الديرة وقمت تعبي مخابي كنت خذ لك وحده يا خوي والله إنك خطير انت عيال الديرة قيندرون في توزيع هدايا كله نحطله ثلاث مخابي يعبي,NEGLIGIBLE,LOW,MEDIUM,LOW
147,Gulf Arabic,بس تطلعلي أشياء,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
148,Gulf Arabic,أعرف ناس علاقاتهم في أهلهم مرة سيئة لدرجة ما بتواصلوا معاهم إلينا اليوم,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
149,Gulf Arabic,جاي لمساعد يبغى يقتله,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
150,Gulf Arabic,و بظبطك بجيبلك الشهادة المزورة وإنك خذيت الدرجة,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,HIGH
151,Gulf Arabic,اه والله؟ فكرتك وصلتي بتدخل أعطيك المفتاح,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
152,Gulf Arabic,وبعدين تقول هذا كيف، هذا ليه صداقته مضروبة,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
153,Gulf Arabic,مع الصوص الحار ذهلقمة رهيبة,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
154,Gulf Arabic,إنه يكره الدوا وما يبى ياخذه,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
155,Gulf Arabic,طيب يا شباب آه أوكي يلا يلا أوب بب بب بب بب بالعالم اللي قاعد تنزل أوبب هاهاها,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
156,Gulf Arabic,ورجع حط أمه هنا كذا ها,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
157,Gulf Arabic,لا هاهاها مسكينة تعودت على الأكل، لا مو أكل دحين نسوي أشياء كويسة يعني خلاص كفاية تشويه سمعة في الأكل شي ثاني هاهاها,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
158,Gulf Arabic,غير هي طباخة و نفاخة وشايلة البيت على راسها ترى يايمه مثلها ما بتحصل,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
159,Gulf Arabic,بس أظني أنا بالغت في البرجر شوية,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
160,Gulf Arabic,ألف مبروك ارتاحن ارتاحن من هذا يعني بينك الرجال خونه يا بنتي,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
161,Gulf Arabic,شوفوا كيف أنتو دحين كلكم تطلعوا فيا,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
162,Gulf Arabic,حمد يقول إن حاس بالنقص بسبب إنو صار أطرم يحس إنو هو إنسان ما يستحقني. عجيب والله أمرو,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
163,Gulf Arabic,إحنا نبغى نحطه على الأقل إحنا لمن ناخدها,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,LOW
164,Gulf Arabic,اه ما كأنك قرّبت شوية؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
165,Gulf Arabic,يشرد ولا لاء أخته كم مرة تحاول تنقذه أخته اللي وثقت فيه,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
