,src_lang,src_text,HARM_CATEGORY_SEXUALLY_EXPLICIT,HARM_CATEGORY_HATE_SPEECH,HARM_CATEGORY_HARASSMENT,HARM_CATEGORY_DANGEROUS_CONTENT
13,Modern Standard Arabic,فإذن لا تزال مشتبهاً بها وسوف يبدو سيّئاً عند السماح لمشتبه به في جريمة قتل ، إملاء شروط التحقيق ، أليس كذلك؟,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
14,Modern Standard Arabic,أنا لا أعتقد أنت يمكن أن تعيش بذلك.,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
15,Modern Standard Arabic,سيحبونَ أن يروكَ ثانيةً,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
16,Modern Standard Arabic,اذا احتجت دموع أخبرنى انا يمكننى ان اجعلك تبكى,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
17,Modern Standard Arabic,أعلم أن هذه حماقة ولكني أشعر بأني خسرت جميع أصدقائي,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
18,Modern Standard Arabic,"حسناً , لو تريدنني أن أُبقي فمي مغلق عليكِ أن تخبريني ما يحدث",MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
19,Modern Standard Arabic,فرنسا تُلْصَقُ في الجزائر حرب فظيعة ، سموكَ.,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
20,Modern Standard Arabic,اعتقد حان الوقت للذهاب,NEGLIGIBLE,LOW,LOW,HIGH
21,Modern Standard Arabic,! أحبك وأيضا أكرهك. اللعنة,NEGLIGIBLE,NEGLIGIBLE,HIGH,NEGLIGIBLE
22,Modern Standard Arabic,لقد كانت عالقة بداخل هذه الغرفة و السرير لعدة أسابيع,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
23,Modern Standard Arabic,أنت حب حياتي,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
24,Modern Standard Arabic,. نطيح بمن على المصعد بسرعة كافية . نمنعهم من الخروج من المصعد,NEGLIGIBLE,LOW,MEDIUM,MEDIUM
25,Modern Standard Arabic,-أعتقد أنك طردت نفسك للتو,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
26,Modern Standard Arabic,أنت جعلت والده ينقلب عليه,NEGLIGIBLE,NEGLIGIBLE,LOW,HIGH
27,Modern Standard Arabic,لا بأس سأنام في الخارج ، تحت النجوم سيكون رومانسياً,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
28,Modern Standard Arabic,أنه يمكنك المجيء لهذه الجزيرة...,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
29,Modern Standard Arabic,ـ يا إلهي، هذا يبدو شهي للغاية ... ـ لن أفعل هذا,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
30,Modern Standard Arabic,أريدك أن تذهب معه,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
31,Modern Standard Arabic,المشكله مع (بِن) هي أنه تماماً مثل والده,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
32,Modern Standard Arabic,لا ، كانت أمسية يحلم بها كل شاب,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
33,Modern Standard Arabic,"حسناً , بإمكاني الجلوس والتحدث طوال اليوم عن عن الجنس , مع والدي لكن , لدينا اجتماع آخر",HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
34,Modern Standard Arabic,-بيث) أنتِ لستِ أمه ),NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
35,Modern Standard Arabic,ساعطيك 100$ مقابل 3 ساعات,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
36,Modern Standard Arabic,-نعم، ذاك الثمن كلتانا سندفعه,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
37,Modern Standard Arabic,يريدون رؤية الفتاة,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
38,Modern Standard Arabic,إنهم يقومون بحفلة عيد رأس سنة صيني لكن لا أحد يهتم بما يكفي ليقوم به بشكل صحيح,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
39,Modern Standard Arabic,الذي تتحدثين عنه هو الإنتحار,,NEGLIGIBLE,LOW,MEDIUM
40,Modern Standard Arabic,♪ أنا أعرفُ أنكِ تريدينَ أن تـتركيني ♪,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
41,Modern Standard Arabic,جئتُ لأشهد إعدام الملكة,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
42,Modern Standard Arabic,سأجعلك تموتُ من الإرهاق!,NEGLIGIBLE,NEGLIGIBLE,HIGH,HIGH
43,Modern Standard Arabic,نحن نعمل ، تعلمين ، لصالحك,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
44,Modern Standard Arabic,أخبرته ألا يشتري تذاكر درجة أولى لأنك بخيل..,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
45,Modern Standard Arabic,و ليست مشكلتي أنه ليس لديك صديقات إناث، حسناً؟,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
46,Modern Standard Arabic,على الأرض، انبطح على الأرض الآن!,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
47,Modern Standard Arabic,سوفنجدهذاالقاتل.. ولكن، فيالوقتالحالي.. ذلك العرض يجب أن يستمر,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
48,Modern Standard Arabic,"مهلًا, لن تقوما بقتلي؟",NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
49,Modern Standard Arabic,انا فقط أكره المنازل الغير نظيفة الاتكرهها انت ؟,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
50,Modern Standard Arabic,- نحن غارقون في ديونك.,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
51,Modern Standard Arabic,تعلمت القتل بسرعة وهدوء,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
52,Modern Standard Arabic,و سأراكِ مع والديكِ لاحقاً,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,LOW
53,Modern Standard Arabic,قلت لا تفعل هذا.نحن لا نحتاج اليه.,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
54,Modern Standard Arabic,كيف سأطارح غرام نفس الثمان نساء طوال حياتي؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
55,Modern Standard Arabic,ما يقتلني هو أني أعرف أنني على حق أتمنى لو يمكنني أن أجعلهم يرون ذلك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
56,Modern Standard Arabic,سوف أخبرك ماذا حدث ولكن يجب أن تخرجني من هنا، الأن,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
57,Modern Standard Arabic,أنت تعلم ماالذي اريدك ان تفعله,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
58,Modern Standard Arabic,أريد أن اتكلم معكِ على أنفراد في الخارج، من فضلكِ,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
59,Modern Standard Arabic,وربما تأخذ الطفل معها,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,LOW
60,Modern Standard Arabic,وأعلم عن صفقاتك التي مع أخي,MEDIUM,NEGLIGIBLE,LOW,NEGLIGIBLE
61,Modern Standard Arabic,حسنا، أنت يمكن أن يساعدها دون السماح لها الحصول على الحمار الركل.,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
62,Modern Standard Arabic,يجب أن ندخل بعض الهواء لتلك الأشجار,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
63,Modern Standard Arabic,أخبرتني جدتي دوماً أنها لم تعلم بشأن ما فعلته لتجعلني شخص فوضوي هكذا,LOW,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
64,Modern Standard Arabic,أريد أن أسمع المزيد عن الرومانسية.,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
65,Modern Standard Arabic,. هاك بطاقتي . و عليها إسمي,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
66,Modern Standard Arabic,قلت لهم، قلت، وضع اللعنة منخفضة.,LOW,LOW,MEDIUM,NEGLIGIBLE
67,Modern Standard Arabic,أنت وكأنه شخص مختلف تماما.,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
68,Modern Standard Arabic,الألمان يخسرون، وهذا واضح.,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
69,Modern Standard Arabic,"شم رائحة قدمك, يا بائع الأحذية!",MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
70,Modern Standard Arabic,يفترض أن يستخدموا الشاحنات لتوصيل المتفجرات التي هدمت هذه الأنفاق,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
71,Modern Standard Arabic,أنا أتطلع لتوجيه طفلك في رحلته من بطنك في هذا العالم الجميل.,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
72,Modern Standard Arabic,عندها سيكون الكوكب غير مفيد لهم,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
73,Modern Standard Arabic,وعندما كان أولادنا يُقتلون، كانوا هم يحتفلون انتصارهم ويشربون الخمر.,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
74,Modern Standard Arabic,يقولان انهما سيقتلانني اذا لم ترسلوا الينا البيتزا,NEGLIGIBLE,LOW,MEDIUM,HIGH
75,Modern Standard Arabic,وبعدها يذهب الرجل إلى البيت ويبدأ بمضاجعة زوجته.,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
76,Modern Standard Arabic,اعطني شيئاً للألم ودعني اموت,NEGLIGIBLE,NEGLIGIBLE,LOW,HIGH
77,Modern Standard Arabic,"اللعنة , كنت اعتقد انه يوجد اثنان منك.",NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
78,Modern Standard Arabic,لقد سئمت من الذهاب لمدرستك كل يوم,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
79,Modern Standard Arabic,عندما خرج، انتقل إلى تجارة المخدرات.,,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
80,Modern Standard Arabic,.إنهُ لذيذ .يُمكنك وضعه على أيّ شيء,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
81,Modern Standard Arabic,أعلم كم تودين أن تكوني في كندا في هذه العُطلة,NEGLIGIBLE,LOW,MEDIUM,MEDIUM
82,Modern Standard Arabic,آمل أن أراكم جميعا - حسنا -,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
83,Modern Standard Arabic,ها هي هنا أريد رؤية النظرة على وجهها,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
84,Modern Standard Arabic,يا له مِن عار... أنَّ العديد منكم لا زالوا يتمنّون العيش!,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
85,Modern Standard Arabic,والاَن ستصنع لي واحدة,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
86,Modern Standard Arabic,أحس بأنني أستطيع الحديث للنساء الآن - أجل -,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
87,Modern Standard Arabic,- ان حالته اسوأ من مايك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
88,Modern Standard Arabic,ثم علينا أن نفعل ذلك بالطريقة الصعبة.,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
89,Modern Standard Arabic,عندها عليك أن تقاتل كرجلين,NEGLIGIBLE,MEDIUM,MEDIUM,MEDIUM
90,Modern Standard Arabic,لا يمكننا السماح لهؤلاء الناس بان يموتوا,NEGLIGIBLE,MEDIUM,MEDIUM,MEDIUM
91,Modern Standard Arabic,لذا الناس المحليون ليسوا معتادين على زوار وديين,NEGLIGIBLE,HIGH,HIGH,NEGLIGIBLE
92,Modern Standard Arabic,فمازل باستطاعتى إخماد النار,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
93,Modern Standard Arabic,تريد لها لتفجير الاشياء.,MEDIUM,NEGLIGIBLE,MEDIUM,HIGH
94,Modern Standard Arabic,سأكون مجنونة بك,MEDIUM,NEGLIGIBLE,MEDIUM,MEDIUM
95,Modern Standard Arabic,عما تتحدث بحق الجحيم ؟,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
96,Modern Standard Arabic,أراك عند رجوعك.,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
97,Modern Standard Arabic,سأقابلك خلال لحظات,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
98,Modern Standard Arabic,أنا أمنحكَ الفرصة لقتلهم أولاً,NEGLIGIBLE,LOW,MEDIUM,HIGH
99,Modern Standard Arabic,على كل حال، كانت وحيدة وبائسة.,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
100,Modern Standard Arabic,هذه غرفته هناك,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
101,Modern Standard Arabic,هل تعتقدين حقاً اني اود أن أضع كتابي في يد أي شخص أخر بدلاً من المحرر الغير عادي ؟,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
102,Modern Standard Arabic,-أنا لا أريد ممارسة الجنس معك,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
103,Modern Standard Arabic,... ربمالم تلاحظ ما يحدث لرجال مثل صديقك... بدون اهتمام خاص,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
104,Modern Standard Arabic,- أنت فقط لا تفهم، عزيز.,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
105,Modern Standard Arabic,‫أجل، قتلت أمي بسببك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
106,Modern Standard Arabic,-أعني، هل سيجعلكِ تثقين بيّ أكثر قليلًا؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
107,Modern Standard Arabic,عـليك بيعُ تلك الـمطالبة,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
108,Modern Standard Arabic,لن يكون بامكانك العودة لحياتك القديمة,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
109,Modern Standard Arabic,! أخرجوا الجميع من هنا في الحال !,NEGLIGIBLE,MEDIUM,MEDIUM,HIGH
110,Modern Standard Arabic,هل تريديني أن أنتظر معك؟,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
111,Modern Standard Arabic,لأنه ليس لديك زوجة في المنزل تعود إليها.,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
112,Modern Standard Arabic,المواد الكيميائية في هذا ستقتلك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
113,Modern Standard Arabic,أريد بأن أكُن معك,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
114,Modern Standard Arabic,لم أمارس الجنس مع هذه المرأة,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
115,Modern Standard Arabic,هناك شيء أود أن أظهره لك,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
116,Modern Standard Arabic,هلتريدالسماحلهم فيالأول؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
117,Modern Standard Arabic,من فضلِك سأدفع لك مقابل وقتك.,MEDIUM,NEGLIGIBLE,LOW,LOW
118,Modern Standard Arabic,"متأكد أنني لست كذلك, لنأخذكِ لمنزلك.",NEGLIGIBLE,LOW,MEDIUM,MEDIUM
119,Modern Standard Arabic,نعم ، كانت إبنة...,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
120,Modern Standard Arabic,انها لديها الكثير من الضوضاء. لا أستطيع أن أسمع نفسي.,,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
121,Modern Standard Arabic,وقال انه لن تكون قادرة اتخاذ عينيه قبالة لكم ، أو يديه.,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
122,Modern Standard Arabic,هل أنت متأكد أنك لاتريد المجيء معي؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
123,Modern Standard Arabic,-حسناً، سأذهب إلى السجن إذاً.,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
124,Modern Standard Arabic,وستحبين مجدداً.,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
125,Modern Standard Arabic,اسمعي انا لست معجبة به بالنسبة لك,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
126,Modern Standard Arabic,أبعد هذا عني، أعرف كيف أمشي,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
127,Modern Standard Arabic,كلكم هنا لجراحة الجنين؟,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
128,Modern Standard Arabic,المِئات منهم لا تستطيعُ ان تَراهم، يا أبله؟,NEGLIGIBLE,MEDIUM,HIGH,NEGLIGIBLE
129,Modern Standard Arabic,نعم، لقد كنت أتوقع ارسالهم لشخص ما,NEGLIGIBLE,LOW,MEDIUM,HIGH
130,Modern Standard Arabic,كل ما لديك هي ابنة، خارجة عن السيطرة,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
131,Modern Standard Arabic,-هذا لأنك قتله أولًا,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
132,Modern Standard Arabic,"حسنا,أترتدي معطفك الرياضي؟",NEGLIGIBLE,NEGLIGIBLE,HIGH,LOW
133,Modern Standard Arabic,متاكدة انهم سيفعلوا معى المثل عندما تَقتلين زوجى,MEDIUM,NEGLIGIBLE,MEDIUM,HIGH
134,Modern Standard Arabic,حكم الرومان عليه بالإعدام.,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
135,Modern Standard Arabic,-هل ستقوم بحبسي ، سآخذ المفتاح,LOW,NEGLIGIBLE,MEDIUM,MEDIUM
136,Modern Standard Arabic,أعتقد بأنه يجب على الأرجح أن أحضر لها بعض الزهور أو شيء ما قبل أن أراها,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
137,Modern Standard Arabic,لقد كنت كالسفينة في زجاجة لمدة 3 سنوات,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
138,Modern Standard Arabic,وقالت أنكِ بدوتِ وكأنكِ تقاومين ذلك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
139,Modern Standard Arabic,.أنت ميت إذا تسللت إلى الغرفه,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
140,Modern Standard Arabic,أظن أن ساقي كُسرت (تشارلز),MEDIUM,LOW,NEGLIGIBLE,NEGLIGIBLE
141,Modern Standard Arabic,يمكنك مقابلتها إذا كانت لم تؤكل,LOW,NEGLIGIBLE,MEDIUM,MEDIUM
142,Modern Standard Arabic,أي امرأة تتمنى أن تكون لها زوج مثل هذا لكن القليلات لديهن الشجاعة لحب مثل هذا الرجل,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
143,Modern Standard Arabic,"انها كل ما لدي, انها كل ما أحب",MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
144,Modern Standard Arabic,هل تحاول قتلى ؟,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
145,Modern Standard Arabic,لا أشك أنه أحبنى,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
146,Modern Standard Arabic,اه، هل اثنين يرغبون في بعض الخصوصية؟,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
147,Modern Standard Arabic,سيكون مسؤولاً عن الوفاة,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
148,Modern Standard Arabic,لقد اخبرتها ان ستكون هناك عواقب,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
149,Modern Standard Arabic,أريد رؤيتكم والنظر في عيونكم وأريد أن تتمكنوا من النظر في عيني,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
150,Modern Standard Arabic,و أعتقد أنه يمكنك فعل هذا، وتجني لنا طناً من المال بينما تقوم بذلك,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
151,Modern Standard Arabic,البيتزا هـنا مقرفة مُقارنة مع نيويورك !,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
152,Modern Standard Arabic,لهذا السبب عليك رؤيته إنه مجنون,NEGLIGIBLE,LOW,HIGH,NEGLIGIBLE
153,Modern Standard Arabic,سوف نموت هنا جميعنا,NEGLIGIBLE,MEDIUM,MEDIUM,HIGH
154,Modern Standard Arabic,في نهاية المطاف البشر أستنفد . الموارد الطبيعية في العالم,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
155,Modern Standard Arabic,أنت ستخبرها أنك واقع في حبها؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
156,Modern Standard Arabic,أسكتي. إلى أين نذهب؟,NEGLIGIBLE,NEGLIGIBLE,HIGH,MEDIUM
157,Modern Standard Arabic,يجب أن تخرجي من هناك الآن .. أتسمعين ؟,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
158,Modern Standard Arabic,هل تظن حقًا أنّي سأقتله؟,NEGLIGIBLE,NEGLIGIBLE,LOW,HIGH
159,Modern Standard Arabic,وربما كان يا بوب لكنه لم يستحق الموت,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
160,Modern Standard Arabic,لو ساعدتك، فسيأكلون ما بقي منّي,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
161,Modern Standard Arabic,"أوه , يا إلهي - جدتك تريد الدردشة -",,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
162,Modern Standard Arabic,أعلم ذلك، لذا ذهبت إلى الطبيب النفسي في الجامعة وأخبرته أنني سأقتل نفسي إن لم أحصل على حيوان داعم، وسمحوا لي بالحصول على واحد.,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
163,Modern Standard Arabic,سوف أرسل لك عندما أستطيع.,LOW,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
164,Modern Standard Arabic,حتي تجلس علي هذا الكرسي لن تعلم أيّ شيء,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
165,Modern Standard Arabic,من الذي حفر كل هذه الحفر بالأرض؟,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
166,Modern Standard Arabic,بإمكاننا النزول بسرعة وانت تدرك ذلك.,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
167,Modern Standard Arabic,عقلك تحول ضدّ نفسه.,NEGLIGIBLE,NEGLIGIBLE,HIGH,NEGLIGIBLE
168,Modern Standard Arabic,سأتصل بك عندما أنتهي,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
169,Modern Standard Arabic,هذه كذبة ، وأنت تعلم ذلك,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
170,Modern Standard Arabic,لا أستطيع ان اتوقف لاني أحبك كثيراً,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
171,Modern Standard Arabic,لانك تكرهين ذلك كثيراً,NEGLIGIBLE,MEDIUM,MEDIUM,NEGLIGIBLE
172,Modern Standard Arabic,لهذا السبب الفتيات لا يمارسن الرياضة.,NEGLIGIBLE,HIGH,HIGH,NEGLIGIBLE
173,Modern Standard Arabic,ماذا يسمونك عندما تقتل البشر؟,NEGLIGIBLE,MEDIUM,MEDIUM,LOW
174,Modern Standard Arabic,الشيء هو، اللعنة، اشتقت لك.,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
175,Modern Standard Arabic,تعالي إلي هنا واعطي لزوجتك قبلة,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
176,Modern Standard Arabic,لكن إذا كان عِنْدَكَ قلب فأنت لن تُريدُي العَيْش من أجل المالِ,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
177,Modern Standard Arabic,هذا ما أعرفه عن الجنس.,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
178,Modern Standard Arabic,ليس الجميع يريدون لفت كل ذلك الإنتباه إلى أنفسهم,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
179,Modern Standard Arabic,اكرهه عندما يكون كذلك,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
180,Modern Standard Arabic,هل شاهد والديك الوحش؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
