original,translation,cosine_similarity
"بالمناسبة, هم لا يعيشون في منزلين مختلفين",- هما مش موجودين هنا صح ؟,0.6173438
ضع كاميرات أمنية في جميع أرجاء المنزل، ما عدا غرفة النوم.,حط كاميرات في كل حتة في البيت إلا أوضة النوم.,0.83541846
(جايك) ترك لي رقم جديد,( بس هنبدا مع ) جاك,0.68341786
لدي شهر انا اسف,عندي شهر انا اسف,0.98557407
لا ، لا أعتقد علينا إخبارهم بذلك,-بس أنا مش المفروض أقول حاجة,0.7526579
"لاتقلقى , سأتحدث إلى والدك.",وبعدين أما بحكي مع والدك، ابقى انا بس...,0.8316381
أنا لم أره لفترة من الوقت.,مر وقت طويل وانا مش مع راجل,0.7920213
اليس هذا ما كنت تظنه ؟,بصراحة ليه فكرت كده؟,0.84925383
اتعتقدى ان جنرال هرب لأنة اعتقد انكى تعتقدى انة قتل بولى؟,يا ترى جنرال سَاب لأنة شَاكك انك شاكة انه قَتَل بولي ؟,0.84230053
نذهب مباشرةً لأجل المال.,اللى بيحصل ليهم بيضرب على اللى بيحصل فى الاقتصاد فى التمام,0.58936363
أيمكن أن أجلس معك ومع زوجتك لدقيقة؟,ـ عايزة بس اسألك كام سؤال ـ هتاخدي كام وقت علشان تتكلمي معاها؟,0.742871
أترى المرأة هناك ؟,- اته دة عايزها، انتة عايزها,0.7945334
وعلى الأقل 15 آخر مجروح بشكل سيئ.,وعلى الأقل 15 تاني مصابين بقوة.,0.9081811
(جورج)، علينا أن نُخرجك من هنا الآن,يلا بينا نمشي من هنا، حالا!,0.8515391
هو أمسكه، ولم أكن حتى أفكر أنا سحبته فحسب و ..,لكن اللى ما حسبولهوش حسابه، كنت أنا!,0.77335894
إن أردتِ الرقص,إنتى فرحانة ترقصى معايا؟,0.81739485
"تعال, أعطني قبلة",ياااااااه.. فين قبلتي؟,0.8230106
هل قالت أى شىء لك ؟,- قولت لها ايه؟,0.8782408
حسناً، أيوجد هناك شيء ما يمكنني فعله؟,اية، اية ممكن تعمله,0.7072167
هو مناخُ الحبِّ، تعال وقِعْ في الحبّ.,يارب تدوق الحب تاني,0.83014303
لقد أراد والدى أن آتى إليك لسبب ما,إِذًا هَدَدّ أَبُوكَ بِجَلْبِ الشُرَطَة,0.86343
-أين كنتنّ طيلة الليل بحقّ الجحيم؟,فين كنتي طول الوقت ده؟,0.7792908
عزيزي ، انت لم تطلق الرصاص من قبل,-لإنك ما خلتنيش أبدا,0.7602598
الان هيا عُد ارجع الى السيارة ، هاه ؟,سيارتك الخاصة وصلت تعالى نطلع,0.8646375
لا يهمني عن تلك الأشياء.,بجد مش يهمني,0.88651717
"أتعلم ؟ ربما هذه لم تكن فكرة صائبة, على أية حال",بعض الناس شايفين انها مش فكرة كويسة,0.8610713
أعرف أين هو، لقد كنت هناك,اكيد انا بعرفه مين هو,0.85372055
فقط يأتى عندما لا يكون زوجى هنا,بيفكر انى لسه شغال هنا,0.7360273
أنا حتى لم أشتري لكِ هدية,انت مش عارف حاجة عني,0.6596449
لمْ تعد البلدة آمنة,أنا مبتحتاجش أقولك أن الناس لما تبقى خايفة في المدينة ده أسوأ حاجة ممكن تحصل قبل شم النسيم,0.70633835
عندما أعود، سوف تشتري لي عشاء أن أشكر لي.,اشترى لي عشاء دلوقت,0.84252596
والآن، أنت قاتل رجال بيض,وغير انك تضرب المجرمين,0.7116038
تحاولين أن تجعليني أنسى بأنني كنت منزعج معك,بتحاولي تخليني أنسى اني كنت زعلان منك,0.89349127
♪ أنا أبدو كمزارع ♪,♪ أنا بظاهر مزارع ♪,0.9505621
-قلت أنني لا أريد نقودك .,إني مش هسمح لحاجة تحصلك,0.8352872
هذا كل ما أفكر به,دي كل حاجة فكرنا فيها,0.8003348
الحق أنها لا تمتلك أي موهبة على الإطلاق إلا بعض المواهب الطبيعية,الموهبة الوحيدة إللى عندها هى موهبة طبيعية,0.8127483
-مرحبا، أنا هنا لأرى,سيبيني سيبيني,0.84411085
أحتاج - ويس، انا - أحتاج الى خمس دقائق معه,لازم اتكلم مع فرنك خمس دقايق,0.7958008
آل، أعتقد أن علي الحديث معك عن شيء ما أولا,لازم تكلم عن الموضوع ده.,0.8113251
أود أن أقول لك بأني آسف,أنا أسفة لو متأسفة,0.94799197
ويذهبإلىالبيت ولن أكتشف أبدا أيّ شيء,ويمشي عالبيت ومش حكتشف حاجه أبدا,0.7781538
لم لا تسأل صديقك العزيز  هارفي جونز  ؟,ليه متسألش صاحبك العزيز هارفي جونز؟,0.91614234
نسيت كم أنت محامٍ بارع,إنت بتنسى قد إيه أنت محامي ناجح,0.90855944
حَسناً، سيدة، انظري كُلّ الأخطاء التي فعلناها لوحدنا لذا هذا جيدُ بأنّك هنا.,حلو يا مدام. شايفين كل الغلط اللي عملناه بنفسنا فم كويس انك كنت معانا,0.78614736
عندما ينقشع الغبار سنعيد البناء,هنقدر نرجع نكمل الجيم؟,0.6977571
جميل احب أن أرى الجمال الهائل,عندك هنا مثال للجمال,0.7542327
يريد أن يعرف إن كنت تظن أن تلك الصفقة عادلة,ده النقطه اللى بتخصنا فى الصفقه,0.67421305
لقد قاد مشروع لشؤون الوزارة الخارجيّة...,... قَدّامَ مشروع للشؤون الخارجية للوزارة,0.84331816
لقد سرقوا امرأتك، ألم يفعلوا؟,هم سرقوا مرك، والمعلش؟,0.84232485
لقد طلبنا من الطلاب توقيع تعهد للإمتناع عن إستعمال المخدّر و,طلبنا من الطلاب توقيع التعهد بمنع الاستعمال المخدرات و,0.97106
لن تفهم إنه سر,هوّ في سرّ أقولك,0.7981194
تغير الكثير، وأعتقد أنه بعد رؤيتك أردت فقط أن..,أنا عمري ما شوفتك قبل كده...,0.8104937
"رائع , نعم , تبًا لذلك الملصق , صحيح؟","كويس, تمام, كده احسن بكتير",0.791703
لكن يبدو إنك تملك شيئاً لتخبرني به,تمام، يبدو إنى هقول لك حاجة.,0.8763258
.. إنها فى الأعلى على السرير - يا إلهى، تيم,.. إنها فوق على السرير - ياترى، تيم,0.9750458
افعل 30 زيادة على ذلك حتى تتوقف عن الضحك,قول تاني 30 زيادة على كده، يمكن تطلع من الضحك,0.8440572
لكن هؤلاء الأعداء كيف نهزمهم إذا لم تخبرنا عنهم؟,مفيش داعي نكون أعداء,0.7312461
حسناً ، ها نحن في المنزل,- هاشوفك في البيت يا صحبي,0.7830236
"نعم, هذا عندما كسرت ساقي",ايوه ده وقت ماكسر رجلى,0.774426
وتوقف عن التظاهر بأنك تمثل القانون هنا,واقفل انت انت وهو اوقف التمثيلية بتاعتك بقى القانون هنا,0.78790534
ألم تسمع عن العسل؟,ال عسل مش معروووووووووووف يعني,0.80991924
- نعم، إنهم يكونون مبتهجين كثيرا في الصباح. 672 00: 39:,اه، هما الجوزين السعيدين,0.79333943
ربما حان الوقت لتفكر أن ذلك الجزء من حياتك انتهى,يمكن خلاص حان الوقت تفكر إني الجزء ده من حياتك قلّ,0.8528894
وسوف يبدأون يطرقون الأبواب قريبا.,اتفرج، هفتح الباب.,0.73239
ليس على الصفحة السادسة على ماأعتقد,مفيش على الصفحة السادسة زى ما أنا فاكر,0.7419046
أتعرف، لابدّ أنّه أمر صعب الحصول على عقود دفاعٍ في هذه الأيّام.,اعرف يعنى انا عارف ان دا صعب انك تاخد عقودك دى فى الايام دى,0.8175895
سوف اتصل لارى اين بقية الضباط,هتصل لاري فين باقي الضباط,0.8545779
أريد استعادة عائلتي,قالى أنى لازم أرجع,0.6439277
سنة جديدة سعيدة سنة جديدة سعيدة، كارينو العام.,سنة حلوة يا كتكوت,0.82337254
كان شيئاً حسناً، هل رأيتِ عينيه؟,كان حاجه حلوه، شفتي عنيه؟,0.84208226
لا أعرف ما هي وظيفتك حتى,أنت عارف اني مش عارف أعمل كده.,0.81868684
",حسنا بينما ننتظره بكل صبر",فينك منتظر إيه؟,0.8077583
لا بد انني نمت على الأريكة,كنت بس قاعد في البيت باحس بروحي,0.7076652
الحصول على الخروج من هذا الطريق الدامي!,يلا بينا نمشي من هنا، حالا!,0.8232163
لا يمكنك فعل شيء لتغييرها,انت مش قادر ترد عليا,0.69318175
إنه لم يترك حتى ميدان البيت الأبيض,مش هثق فيه ولو للحظة,0.6204276
عليك أن تجعلني موظف الشهر الحقيقي,بفكر كدة بيعملني موظف ناجح الشهر,0.8036583
ألا تعلم القصة؟,ماتعرفش القصة؟,0.9376049
- هل سبق وأن ركبت على متن مروحية؟,- هل سبق ليك والمروحية اخدوك فسحة,0.7964344
! أوه ، لا ، لا ، لا يمكنهم أن يفعلوا هذا,! أه ، لا ، لا ، ما يقدروش يعملوا كده,0.8285897
أحضرت لكما الحليب الساخن,الحليب بيغزلني إشرب يا ولاد,0.8536669
فإذن لا تزال مشتبهاً بها وسوف يبدو سيّئاً عند السماح لمشتبه به في جريمة قتل ، إملاء شروط التحقيق ، أليس كذلك؟,من غير ما نشوف المشتبه بيه؟,0.777519
حاولت جاهداً أن أموت لكن لم يستطع أحد قتلي,حاولت كتير أموت بس محدش قدر يقتلني,0.84144187
"اى نظرة ؟ - انت تعلم , انها تغطى وجهك بالكامل",كل ما تتفرج على نفسك في المرايا، اتذكر إن في حد تاني بيشوفك,0.7579721
أعني، أنني قرأتها لقد كانت جيدة,حلو بس انا قررت أقرأ الكتاب ده فعلا,0.87049407
"عندما تحدث امور غريبه, دائماً ماتكون بسبب العاصفه",كانت عاصفة,0.7074821
هل أخبرت الكاتبين أن يتصرفوا وكأنهم أحبوا فكرتي؟,قلت للكتاب يتصرفوا كأنهم في حب الفكرة بتاعتي,0.8410522
...لم تحدث المواقعة هناك، كانت,عاجوزنا مش هناك,0.8330234
خذ الفتيات ليستقروا بالداخل سوف أعود خلال وقت العشاء.,خد البنات يرتاحو جوه هتكون رجعت في وقت العشا,0.7861305
أنا لا أعتقد أنت يمكن أن تعيش بذلك.,ما أظن انك تقدر تعملها.,0.8930783
سيحبونَ أن يروكَ ثانيةً,إحنا دلوقتي بنعيدها من جديد.,0.74817383
اذا احتجت دموع أخبرنى انا يمكننى ان اجعلك تبكى,سيبك لي منك,0.7819188
أولاً أنا لا أُريدُ أن أحداً يتَأذّي,أول حاجة أنا مابحبش حد يتأذى,0.75320005
نحن جميعا لدينا بعض الأحداث في ماضينا قد ننسى، ولكن نحن لا، يا مارشال؟,فيما مضى لسة شوفنا بعض,0.70188797
لا تستطيع إعتقاله هكذا,مش عاوز اتقبض عليه,0.81627715
أعلم أن هذه حماقة ولكني أشعر بأني خسرت جميع أصدقائي,أعتقد اني هح скучать بيك اكتر من اي حاجه.,0.6811043
كل شيء في النار، هل تسمعيني؟,كل حاجة فى النار، بتسمعينى؟,0.9295844
هل تظنني معك لأنك سهل ؟,يعني لوحشتك إنى أستاهل كده؟,0.78307337
إذًا، لمَّ لا تفهمني عندما أتحدث معكَ؟,انت مش بتسمع كلامي يعني؟,0.7232677
- ماذا تفعل هنا؟,-ما تخش هنا أصلاً ؟,0.9585679
تحقق من المريض ل نزيف داخلي...,شيك ع المريض عنده نزيف داخلى...,0.9170954
كلا لم اقفز من اعلي الشلالات انا سبحت في ماء النهر,"بسبح انا عشان انقذ, مش عشان استمتع",0.6558213
كنت مستيقظة طوال الليلة لأجل هذا,كنت هنا طول الليل,0.88425255
من الصعب أن تكون صادقاً لأن الناس لايريدون سماع الحقيقة، والحقيقة...,من الصعب انك تكون صادق لان الناس مش عايزه تسمع الحقيقة، والحقيقة...,0.9679619
لا تتذوق النصر حتى الآن.,...انا مش مستعده بقى اخلف,0.72901344
لا ولكن الفضول يعتريني,لا بس الفضول واخدني,0.9244721
"حسناً , لو تريدنني أن أُبقي فمي مغلق عليكِ أن تخبريني ما يحدث",هتخليني أتقالك الموضوع ده من غير ما أدور، مش كده؟,0.7524936
الذرة تزرع فى الأرض لإطعام العائلات,الذرة بتتزرع فى الأرض علشان الناس تاكلها,0.83834636
إذن الليلة التي ألقي فيها خارجآ، أتى إلى بيتك؟,و إنت لاقيت كده في البيت ده؟,0.8679519
يمكنك أن تستريحي عندما ترين أمكِ .,مع أمها ممكن ندبرلها هدوء,0.7944584
وسأحتفظ بهذا,طبعا احتفظت بالتيشرت,0.8271859
يمكنني اللعب إذا كنت تريد ذلك,آه، معرفش ألعب معها بس أنت ممكن.,0.80475205
- مرحبا، أين دان؟,- هااا، دان فين؟,0.81381935
فرنسا تُلْصَقُ في الجزائر حرب فظيعة ، سموكَ.,باسم الشعب فرنسا -,0.6386696
اعتقد حان الوقت للذهاب,حان الوقت للذهاب، للذهاب، للذهاب,0.9070554
ما الذي يقوله المعجبون عني حاليًا؟,إيه المعجبين بيقولوا عني دلوقتي,0.7728576
! أحبك وأيضا أكرهك. اللعنة,ما بديش الناس تكرهك كمان,0.74685353
توقفت عند البقالة لجلب بعض الأشياء لأجل العشاء,اشترى لي عشاء دلوقت,0.8097526
من كان ليُحاول قتلك يا (تيم) ؟,بيقتلوا يا تيم؟,0.8533579
لِمَ لا تخبرني بما يزعجك في ذلك المكان؟,ده خلاكي تفكري فيا؟,0.7744917
لقد كانت عالقة بداخل هذه الغرفة و السرير لعدة أسابيع,"... هو محبوس في غرفته دلوقتى, علشان كده",0.64604664
مهلا ، اجلس دعني ألقي نظرة على ذلك,اتفضل اقعد هنا كفايه عشان تشوف,0.7828131
-ماذا أخبرتيها؟,- قولت لها ايه؟,0.9465562
هذا لن يبقى في السوق لفترة طويلة.,علي الاقل مش هيكون أي وقت قريب.,0.65124315
بلى، لم أفكر في ذلك,"-لا . مش عملت كده , مش كدة !",0.7915959
أنت حب حياتي,بحبك وعارف كدة,0.87378573
. نطيح بمن على المصعد بسرعة كافية . نمنعهم من الخروج من المصعد,تمام وبرضه لسه بيشتغلوا الشغل فوق في الدور الرابع بس ماعنديش مانع ادخلك الدور اللي تحت,0.63629675
حسناً، يمكنني تحريك السيف ولكن لمئات الأميال؟,حاضر، ممكن أحرك السيف بس لمئات الكيلومترات؟,0.9001328
شكرا من أجل ردك على رسالتي.,مشكوووووووووور على ردك لرسالتي,0.95110375
أتيت بها كانت على أرضية الحافلة,جبتها كانت تحت على أرضية الأتوبيس,0.7639586
فقط دع بول لوحده يا ابي، إنه رجل صالح,ماكانتش ليها أب كمان,0.74784935
لأنه يبدو الكون يريد حقا لنا أن نكون معا.,لأنه حاسس إن الكون عايزنا نكون مع بعض بجد.,0.89023334
جيد عزيزي ، أنت بالمنزل ، أصغـي,حاضر يلا يا حلوين في البيت,0.88378173
-أعتقد أنك طردت نفسك للتو,انت اتعمت على انك جايب نفسك من العيلة دي,0.7957034
أمي كانت أحد العظماء,امي كانت من العظما,0.8601562
- لا لن تستطيع التحرك بسرعة كما أستطيع .,- لا لن تقدر تحرك بسرعة زيي .,0.9064561
اعتقد أنه كان قبل أسبوعين من عيد ميلادي الثامن عشر عندما رحلت,أنا فاكر إن ده كان قبل عيد ميلادي الـ 18 بأسبوعين لما سافرت,0.85259914
مع الوالدة، أخبريها باستمرار كم أنّ ابنها رائع.,أم وابنها ده حب مش اي كلام,0.807775
- لم يحدث أبدا، هل تسمعني؟,- عملهاش ديه أبداً - هاه,0.7768196
"علينا العمل , العمل على إنجاح هذا الأمر",يلا، عندنا شغل لازم نخلصو,0.8311896
... ولكنّني سأخبرك بهذا,وأنا كمان عاوز أقولك كدة,0.8821364
أتعلم ما المناسبة في هذا الأحد؟,تعرف المناسبة إيه الأحد ده؟,0.9455243
هذا ما كان يحدث طيلة الـ11 شهر الماضية,ده اللى بيحصل من 11 شهر,0.82722974
أنت جعلت والده ينقلب عليه,أبوك مكنش عاوزك تشوف ده خالص,0.9098714
أتمنى لكم يوما طيباً أحبكم,وبتمنى لك يوم سعيد كمان,0.9573859
إبنه يشبهُ تماماً,ابنه زي نزيلي,0.7122877
لا بأس سأنام في الخارج ، تحت النجوم سيكون رومانسياً,نام كويس الليلة و بكرة هتكون كويس,0.770151
افترض انه لم يتمكن من مصالحة نفسه مع ما فعله.,وليه لما بينالوا اللوم يزعل كدا ويفكر ان لو فعل غلط,0.7992816
لن تصاب بالمرض إن أكلت المزيد من الأرز,حتما في حاجة طهي الرز دي فيه حاجة,0.63239247
-أخبريه أن يتوقف عن العبث .,اتكف عن تبص لي بكده,0.81362635
لم أدرك أن أحد في المنزل,آه، وأحلى حاجة لما داني اسمي على الباب، ولا واحد يبان أنه عرفه.,0.71071506
لماذا أخبرتني أن هذا ليس مكاناً جيداً لتعيش فيه امرأة لوحدها,ليه قولتيلي ان المكان ده مش كويس لو عايشه فيه واحده لوحدها,0.82366115
ومن هو أحد السبل لإنقاذ العالم.,ومن هو أحد السبيل لإنقاذ العالم.,0.9962795
لا، أنت لا تعرف ما كنت تتعامل مع مع هذا الرجل.,لا، انت مش عارف بتتعامل مع مين دلوقتي.,0.8377006
أنت تعلم الأمهات الأيرلنديات و أولادهن,إنت عارف أمهات الايرلنديين وعيالهم,0.9018905
أنه يمكنك المجيء لهذه الجزيرة...,ده طرف الجزيرة,0.8715178
انا لا اريد ان أجعلها تنتظر,لو فوقتّها دلوقتي، أنا مش بساعدها,0.784755
حظاً موفقا في إتمام هذا العمل من دوني.,بالتوفيق في إتمام هذه المهمة من دوني.,0.9197445
-يجب أن أعود قبل الساعة 11: 00 مساءاً,-لازم ارجع قبل الساعة 11: 00 مساء,0.9754807
لا، أعتقد، اه... أعتقد أنني فقط أريد أن يكون وحده في الوقت الحالي.,أنا بس... عايز أبقى لوحدى.,0.8875352
ـ يا إلهي، هذا يبدو شهي للغاية ... ـ لن أفعل هذا,مش فكر إن اللحمة دي طازة,0.7874657
لهذا السبب أسأل، لأنه في مثل هذه الأوقات نحن جميعاً بحاجة إلى دعم,إحنا محتاجين ندور على حد يساعدنا,0.74487233
ربما كانت معاناة زوجك كلّها جزء من خطة الربّ,يمكن عذاب جوزك كان كله في إطار خطة ربنا,0.8213501
-أواثقة أنكِ تريدين فعل هذا؟,ازاي هتخطط لعمل ده؟,0.77568406
قبل غادر والدي نيويورك، تخلى العديد من ممتلكاته.,قبل ما بابا يسافر من نيويورك، ساب كتير من أطرافه.,0.66876286
أريدك أن تذهب معه,أنا ماليش دعوه بيه,0.74007386
من ثم جاءت أموالك,يعني لقيت البنك اللى ها يدي لك راس المال؟,0.78825164
تلك الصورة من الكلاب لعب البوكر، لم يقولون أن لديهم واحدة أيضا؟,الصورة دي كلاب بتلعب بوكر لما قالولهم إن عندهم واحدة برضه؟,0.89753693
"أتعلم ماذا؟ , لمَ لا تحاول التوقف عن السيطرة على كل شيء يا (جاك)؟",تعرف ايه؟ ليه ما تحاولش تتبطل السيطرة دي على كل حاجه يا (جاك),0.88657165
أتعلم فيمَ كنت أفكر؟,تفتكر تعرف اللي بفكره ايه؟,0.7970002
كم عدد الناس الذين ماتوا هنا ؟,مابعرفش عدد القتلى,0.854904
المشكله مع (بِن) هي أنه تماماً مثل والده,وكمان أبوه البغت,0.7276408
بإمكاني أن ألمس  رأس و كتف و ركبتين و اليدين والقدمين والركبتين وأصابع القدم,بقدر امسك راسي ؤكتفي ؤركبي ؤايدي ؤرجلي ؤركبي ؤصباع رجلي,0.6750753
لا ، كانت أمسية يحلم بها كل شاب,دا كان حلمك طول الوقت يبقى يعنى هنفضل,0.7233232
لا تَلُمْني لأنك باعَ إلى الشخصِ الخاطئِ.,يلا يا عم مش قولت لك إني مقصرش في حقك,0.75791097
"حسناً , بإمكاني الجلوس والتحدث طوال اليوم عن عن الجنس , مع والدي لكن , لدينا اجتماع آخر",ممكن نتكلم ف ده الموضوع في وقت تاني؟,0.6808732
اسمح للمرأه بالدخول لا اريد اية مشاكل,-بعتو لصاحبتها,0.73450935
لقد حلمت بك,أنا بحلم بيك,0.9837334
بدلاً من فقدان ثقتي بك كان عليَّ أن أشكرك لإنقاذ حياتي ...و حماية البلاد و,بدل ما أفقد ثقتى فيك كان لازم أشكرك على إنقاذ حياتى ...و حماية البلاد و,0.98369575
-بيث) أنتِ لستِ أمه ),انتي لسه بتطلعي معاه اكيد,0.80324805
أنظر، سأفرغ الأحجار - وضعت فيها الأحجار؟,وانا هفرغ الأحجار دي - حطيت فيهم احجار؟,0.90908766
ليس ذلك فحسب، فالمواد الغذائية بدأت تتعفن لأن الثلاجات بحاجة إلى الكهرباء,ومش كدة بس، الأكل بقى بيتعفن لإن التلاجات عاوزة كهربا,0.85046303
ساعطيك 100$ مقابل 3 ساعات,عايوزين 100 ألف دولار,0.69226986
-نعم، ذاك الثمن كلتانا سندفعه,ده النقطه اللى بتخصنا فى الصفقه,0.7395671
"لدي أعين في رأسي و أذنان على الجانبين , قف",وعندي عينين في راسي واذنين علي الجنبين. قف,0.88497204
آخ، ما أفضل كلمة لهذا الوضع؟,آه، إيه أحسن كلمة لحالة زيي كده؟,0.6686337
فقد كنت أنتظركم في حانة،,هخلص شرابي واتقابلك هناك,0.80874914
- ولكن بطريقة جيدة .,- دي طريقة كويسة تكون بيها,0.86943287
والآن إنني أعرف العديد من الأشياء القيمة، التي لم أكن أعرفها من قبل،,كنت اخيرا علي وشك اني اتعلم حاجه مفيده من ماضي,0.6972705
في بعض الأحيان أتسائل، متى ستتغير الأمور؟,ودلوقتي يتغير كل حاجة؟,0.83001274
وماذا تسمي الذي حدث لأم هذه الطفلة؟,الطفل بس مش أمه,0.79724604
يريدون رؤية الفتاة,عايز اكلم البنت,0.68922836
"-إنها لطيفة جداً , و صغيرة",هي لطيفة أوي و صغيرة,0.9663631
سوف اذهب للاستحمام,وعليّا أروح البيت أتحمّم - معايا حمام -,0.8497043
لا، لا، لا، لا !,لا لا لا لا لا لا طبعا لا,0.90042245
-أريد أن أعلم السبب,- عاوز اعرف السبب,0.806288
إنهم يقومون بحفلة عيد رأس سنة صيني لكن لا أحد يهتم بما يكفي ليقوم به بشكل صحيح,بدل ما الناس تجي وتشوف وش صيني وتقول ايه؟,0.73052156
وقال ان كانوا يخطط لهجوم.,وقال إن كانوا بيخططو لهجوم.,0.9810771
الذي تتحدثين عنه هو الإنتحار,بحبك موت وما بعرف ليه.,0.7343557
هذا المخلوق أكثر قوّةً ممّا تتخيّل.,المخلوق ده أقوي بكتير مما تتخيل.,0.9246119
لأن الناس يغرقون في أغسطس أكثر من باقي الأشهر؟,لأن الناس بتتغرق فى شهر أغسطس أكتر من باقى الشهور,0.92611957
الذهب - حسنا، نعم، أخبرتك بذلك -,دى مش رز ذهبي اصلي,0.7465003
ما اعنيه ان صديقاتها سمعوا واتصلوا بها,اللى باعتقادى هى اتكلمت معاك أو مع مراتك بالتليفون,0.7935176
الآن أرى الجانب المضحك.,دلوقتى بضحك على الموضوع,0.7899732
♪ أنا أعرفُ أنكِ تريدينَ أن تـتركيني ♪,اوعى تخلينى احرمك,0.81246126
في هذه الأيام، 'أفضل' لم يتم تعريف من قبل المخابرات، والصدق أو الشجاعة ولكن قبل أي شيء آخر.,مودرن ستاندارد أرابك: وفي هذه الأيام، 'أفضل' لم يتم تعريف من قبل المخابرات، والصدق أو الشجاعة ولكن قبل أي شيء آخر.,0.95246685
لا أظن ان تلك فكرة جيدة,مش فكرة كويسة,0.9009816
كيف حالك، ايتها الفتاة الجميلة؟,ازيك يا جميله؟,0.84352875
من الواضح انني سأتركك تعالج مريضك,طبعا انا هسيبك تصرف مريضك,0.8501312
سأعود، سأعود,أكيد هيرجع تاني,0.8568014
يجب تغيير المدربين يجب أن يجروا الكثير من التغيير,يجب تغيير المدربين لازم يعملوا تغييرات كتير,0.9723574
لمدة سنة، لقد عملنا على إنجاب طفل,كنا متجوزين من سنتين بس، وماكنّاش جاهزين نربي ولاد,0.72105694
نحن سنوقفها قبل أن تصل إلى يورك,لا، مفيش حاجة لحد دلوقتي بس ان شاء الله هلاقيها,0.66941977
جئتُ لأشهد إعدام الملكة,وإنّهم لو لقوك، إزاي برأيك هيعاقبوا بنت قتلت الملك؟,0.665408
أعني أن الزواج سيقام الأسبوع المقبل,يعني الزواج هيتعمل الأسبوع اللي جاي,0.72382516
أخبرتك بأمر أخي وأخواتي في أيرلندا.,قولتلك على اخويا واختياي في ارلندا,0.84394574
انت لست هنا لاجلي اليس كذلك؟,انت لسه نايم في هدومك؟,0.84191287
لم يتوقف أبدا عن البحث عنكن,مش هسامحك على كده أبداً,0.68386143
- لأنكِ أخذتي بعيداً أخي,- عشان انتِ وديتي بعيد يا أخويا,0.83581996
لذا في الوقت الراهن ل لا احاول ان احيا الحياة التي حلمت بها؟,لذا في الوقت الراهن ليه ما احاولش اعيش الحياة اللي بحلم بيها؟,0.92452735
"لا, لا, هذه هي المرة الأولي",لا لا ده أول مرة,0.9578743
نقودك سوف تنقذ حياة الفتاة الصغيرة,فلوسك هتنقذ بنت صغيرة حياتها,0.8028939
-كلا، سوف نأخذ تاكسي,- لأ، هنركب تاكسي,0.933409
مهما فعلتِ، سأجدكِ دائماً.,دائماً باعرف إيه لازم أعمل.,0.63712746
